donors,user_country,systems,donation_amount,date_of_agreement,entry_into_operation,end_of_operation,status_functionality
"US, Germany, IOM",Ghana,MIDAS,,,,,
"US, IOM, Japan",Guinea,MIDAS,"Japan: $1,573,000",,,,
"US, IOM",Haiti,MIDAS,,,,,
"Canada, US, IOM",Iraq,MIDAS,,,2021,,
"IOM, Japan",Jordan,MIDAS,"Japan (via IOM): at least  $754,953",,2022,,"""The MIDAS health module is currently being piloted in Jordan"" circa 2021 (https://docplayer.net/213141009-Standing-committee-on-programmes-and-finance-twenty-eighth-session.html)."
IOM,Liberia,MIDAS,,,2017,,
"US (via IoM), IOM",Libya,MIDAS,,2021,,,"May not be functional. According to US country reports on terrorism 2022, ""The GNU did not make any tangible progress in 2022 on the installation of the Migration Information and Data Analysis System (or MIDAS), which the CT Bureau funded through the International Organization for Migration, despite receiving the equipment and agreeing to do so in November 2021"" (https://www.state.gov/reports/country-reports-on-terrorism-2022/libya/)"
"IOM, World Bank",Malawi,MIDAS,,,,,
"IOM, Japan, UN MINUSMA, EU (EUCAP-Sahel)",Mali,MIDAS,"IOM: $ amount unknown, provided MIDAS system + training. EU/Frontex: 4 million Euros (for training, establishing interoperability)",,,,
"IOM, Japan (uncertain)",Marshall Islands,MIDAS,,2018,,,
"IOM, EU, Japan, Canada, Switzerland, Denmark, Germany, UK, Italy, US",Niger,MIDAS,"IOM: at least $4,500,000 (sought furether funding), provided MIDAS system + training. US: $3 million (for upgraded facilities, MIDAS/PISCES interoperability)",,2016,,may not be functional
"EU, Switzerland, Japan, Denmark, Germany, Norway, Canada",Nigeria,MIDAS,"Japan (via IOM): $910,000. Canada: ""56 desktop computers, 50 sets of fingerprint scanners, passport readers and webcams, among other items"" (source: https://nigeria.un.org/en/107042-un-canada-hand-over-midas-equipment-nigeria-immigration-service-international-travel-resumes)",,2016,,
US,Panama,MIDAS,,,,,"MIDAS appears to be under implementation, based on job postings in 2022."
IOM,Paraguay,MIDAS,"IOM: MIDAS: $321600, $200000 (see https://www.iom.int/sites/g/files/tmzbdl486/files/developmentfund/publications/ibm-thematic-review-final.pdf)",,2015 (uncertain),,
IOM,Sierra Leone,MIDAS,,,2023,,
"US, EU, Germany, IOM",Somalia,MIDAS,"US: donation of  $387,000 for MIDAS and ""TIP equipment"" (i.e. PISCES?), plus $749,702 (via IOM) for fingerprint scanners. EU: €307.5 million in total via EUTF. IOM: provided MIDAS, fingerprint scanners, and training.",,,,
Japan,Somaliland,MIDAS,,,,,
Japan,South Sudan,MIDAS,,,2011,,
IOM< EU,Sudan,MIDAS,IOM (backed by EU): provided training,,,,
"IOM, EU",Tanzania,MIDAS,,,,,
Belgium (uncertain),Democratic Republic of the Congo,MIDAS,,,,,
"IOM, Japan, International Trade Centre,  UNDP, UNICEF",Gambia,MIDAS,Japan: $2.58 million,,2021,,
"Australia, IOM",Timor-Leste,MIDAS,"IOM: $200,000; Australia: $1.5mil",,2022,,
"US, Germany, IOM",Togo,MIDAS,,,2022,,
IOM,Tonga,MIDAS,,,,,
IOM,Tunisia,MIDAS,,,,,
IOM,Turkmenistan,MIDAS,,,,,
