date,date_label,desc,source,cat
5.7.24,"July 5th, 2024","Labour retains the 2022 Police, Crime, Courts, and Sentencing Act, which among other things allows for further restrictions on the right to protest, new powers for the police, and curbs on the lifestyle of gypsy, romani, and traveller communities.",,general
7.7.24,"July 5th, 2024","Labour retains the 2023 Public Order Act, which expands stop and search powers, criminalizes some kinds of protest completely (e.g. locking-on), and prevents protest on certain kinds of locations (e.g. key infrastructure)",,general
9.7.24,"July 5th, 2024",Labour gets rid of the controversial Rwanda Plan whereby irregular migrants faced the threat of being deported to Rwanda to act as a deterrent.,,general
18.7.24,"July 18th, 2024","Five Just Stop Oil activists, including Roger Hallam, are sentenced to 4 and 5 years in prison for conspiracy to block the M25. These are the longest sentences ever given for non-violent civil disobedience ",https://www.theguardian.com/environment/article/2024/jul/18/five-just-stop-oil-supporters-jailed-over-protest-that-blocked-m25 ,general
30.7.24,"July 30th - August 5th, 2024","Far-right anti-immigration protests and riots take place throughout England and Northern Ireland. Hundreds of police officers were injured, 1,840 were arrested, and of these 1,103 were charged with crimes.",,general
2.8.24,"July 30th - August 5th, 2024","Police use Retrospective Facial Recognition (RFR), usually from CCTV, mobile phone footage, dashcam, or social media, to track and arrest 127 suspects who rioted during this period.",,general
5.8.24,"July 30th - August 5th, 2024","In response to the riots, the government uses 24-hour courts to clear the backlog of cases as quickly as possible. There are some fears that this could be used as a precedent for future cases and policing of peaceful protests of non-violent direct action.",,general
27.9.24,"September 27th, 2024",Just Stop Oil activists throw soup on Van Gogh paintings just hours after two other activists were given jail sentences for targeting the same works of art. , https://www.gov.uk/government/publications/police-use-of-facial-recognition/police-use-of-facial-recognition-factsheet,general
16.10.24,"October 16th, 2024","A Labour junior minister says that sections 73, 74, and 79 of the Police, Crime, Courts, and Sentencing Act are being reviewed in line with manifesto commitments, and that the Act is receiving post-legislative parliamentary scrutiny. ",https://questions-statements.parliament.uk/written-questions/detail/2024-10-08/7975/,general
25.2.25,"February 25th, 2025","Labour introduces the Crime and Policing Bill which gives police the power to ban face coverings, ban protest near the vicinity of places of worship, and allow police to consider the “cumulative impact” of protests when deciding whether to ban them or not. As of November 10th, this bill is in the committee stage in the House of Lords.", https://bills.parliament.uk/bills/3938,general
2.5.25,"May 2nd, 2025","Courts dismissed a government appeal regarding the definition of “serious disruption”, whereby they ruled that the Home Secretary cannot unilaterally lower the threshold for police intervention to anything “more than minor”.",https://www.libertyhumanrights.org.uk/fundamental/protest-rights/,general
